Key,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI
clt_2012_08,4,13,2,3.25,6.5,12,0,13-Feb
clt_2012_21,4,24,0,6,-,-,0,0/24
clt_2012_27,4,20,2,5,10,12,0,20-Feb
clt_2014_07,4,43,0,10.75,-,-,0,0/43
ipl2010_11,4,38,1,9.5,38,24,0,Jan-38
ipl2010_15,4,36,0,9,-,-,0,0/36
ipl2010_20,4,27,1,6.75,27,24,0,27-Jan
ipl2010_26,4,27,2,6.75,13.5,12,0,27-Feb
ipl2010_29,3,21,0,7,-,-,0,0/21
ipl2010_50,1,11,0,11,-,-,0,0/11
ipl2010_55,4,24,2,6,12,12,0,24-Feb
ipl2011_04,2,16,0,8,-,-,0,0/16
ipl2011_16,4,36,0,9,-,-,0,0/36
ipl2011_30,4,37,0,9.25,-,-,0,0/37
ipl2011_33,4,29,2,7.25,14.5,12,0,Feb-29
ipl2011_36,3,28,0,9.33,-,-,0,0/28
ipl2011_41,1,23,0,23,-,-,0,0/23
ipl2012_02,2,9,2,4.5,4.5,6,0,9-Feb
ipl2012_05,2,8,0,4,-,-,0,0/8
ipl2012_11,3,24,1,8,24,18,0,24-Jan
ipl2012_19,4,11,2,2.75,5.5,12,0,11-Feb
ipl2012_23,3,33,1,11,33,18,0,Jan-33
ipl2012_27,4,29,0,7.25,-,-,0,0/29
ipl2012_31,4,40,0,10,-,-,0,0/40
ipl2012_36,4,36,2,9,18,12,0,Feb-36
ipl2012_39,4,35,0,8.75,-,-,0,0/35
ipl2012_43,4,28,1,7,28,24,0,28-Jan
ipl2012_51,4,30,2,7.5,15,12,0,Feb-30
ipl2012_59,3,24,0,8,-,-,0,0/24
ipl2012_64,4,21,3,5.25,7,8,0,21-Mar
ipl2012_67,4,42,0,10.5,-,-,0,0/42
ipl2012_69,4,19,3,4.75,6.3,8,0,19-Mar
ipl2012_73,4,37,1,9.25,37,24,0,Jan-37
ipl2012_75,4,27,1,6.75,27,24,0,27-Jan
ipl2013_01,3,23,0,7.67,-,-,0,0/23
ipl2013_04,4,24,4,6,6,6,0,24-Apr
ipl2013_10,3,28,0,9.33,-,-,0,0/28
ipl2013_14,3,32,0,10.67,-,-,0,0/32
ipl2013_21,4,22,2,5.5,11,12,0,22-Feb
ipl2013_24,4,33,1,8.25,33,24,0,Jan-33
ipl2013_28,4,31,2,7.75,15.5,12,0,Feb-31
ipl2013_32,3,19,0,6.33,-,-,0,0/19
ipl2013_39,4,24,2,6,12,12,0,24-Feb
ipl2013_44,4,36,2,9,18,12,0,Feb-36
ipl2013_48,2.5,27,0,9.53,-,-,0,0/27
ipl2013_52,3,28,0,9.33,-,-,0,0/28
ipl2013_57,4,65,0,16.25,-,-,0,0/65
ipl2013_64,4,26,2,6.5,13,12,0,26-Feb
ipl2013_67,4,38,0,9.5,-,-,0,0/38
ipl2013_71,4,52,1,13,52,24,0,Jan-52
ipl2014_11,4,40,1,10,40,24,0,Jan-40
ipl2014_15,4,28,0,7,-,-,0,0/28
ipl2014_25,3,31,0,10.33,-,-,0,0/31
ipl2014_28,4,26,1,6.5,26,24,0,26-Jan
ipl2014_34,4,34,1,8.5,34,24,0,Jan-34
ipl2014_40,3,24,0,8,-,-,0,0/24
ipl2014_43,4,26,3,6.5,8.7,8,0,26-Mar
ipl2014_47,4,29,0,7.25,-,-,0,0/29
ipl2014_49,4,45,1,11.25,45,24,0,Jan-45
ipl2014_54,3,32,0,10.67,-,-,0,0/32
ipl2014_57,4,13,3,3.25,4.3,8,0,13-Mar
ipl2014_60,4,39,1,9.75,39,24,0,Jan-39
ipl2015_01,3,36,0,12,-,-,0,0/36
ipl2015_15,4,33,3,8.25,11,8,0,Mar-33
ipl2015_18,4,18,2,4.5,9,12,0,18-Feb
ipl2015_20,4,40,1,10,40,24,0,Jan-40
ipl2015_29,4,29,0,7.25,-,-,0,0/29
ipl2015_31,4,36,0,9,-,-,0,0/36
ipl2015_34,2,31,0,15.5,-,-,0,0/31
ipl2015_39,4,34,2,8.5,17,12,0,Feb-34
ipl2015_44,4,36,0,9,-,-,0,0/36
ipl2015_51,3,37,0,12.33,-,-,0,0/37
ipl2015_54,4,36,1,9,36,24,0,Jan-36
ipl2016_02,3,21,0,7,-,-,0,0/21
ipl2016_08,4,28,3,7,9.3,8,0,28-Mar
ipl2016_13,3,17,1,5.67,17,18,0,17-Jan
ipl2016_20,2,16,1,8,16,12,0,16-Jan
ipl2016_24,2,19,1,9.5,19,12,0,19-Jan
ipl2016_26,3,33,3,11,11,6,0,Mar-33
ipl2016_30,4,56,1,14,56,24,0,Jan-56
ipl2016_32,3,26,0,8.67,-,-,0,0/26
ipl2016_38,2,18,0,9,-,-,0,0/18
ipl2017_11,4,33,4,8.25,8.2,6,0,Apr-33
ipl2017_14,3,27,0,9,-,-,0,0/27
ipl2017_18,4,53,1,13.25,53,24,0,Jan-53
ipl2017_23,2,17,1,8.5,17,12,0,17-Jan
ipl2017_27,3,15,1,5,15,18,0,15-Jan
ipl2017_30,3,28,1,9.33,28,18,0,28-Jan
ipl2017_32,4,38,1,9.5,38,24,0,Jan-38
ipl2017_37,4,30,0,7.5,-,-,0,0/30
ipl2017_41,4,23,1,5.75,23,24,0,23-Jan
ipl2017_46,4,36,3,9,12,8,0,Mar-36
ipl2017_49,3,26,1,8.67,26,18,0,26-Jan
ipl2017_54,4,40,0,10,-,-,0,0/40
ipl2017_58,4,21,2,5.25,10.5,12,0,21-Feb
ipl2017_59,2.3,23,1,9.2,23,15,0,23-Jan
ipl2018_03,4,27,2,6.75,13.5,12,0,27-Feb
ipl2018_08,4,23,3,5.75,7.7,8,0,23-Mar
ipl2018_11,4,59,0,14.75,-,-,0,0/59
ipl2018_14,4,36,2,9,18,12,0,Feb-36
ipl2018_19,4,27,1,6.75,27,24,0,27-Jan
ipl2018_24,4,23,1,5.75,23,24,0,23-Jan
ipl2018_29,3.1,36,0,11.37,-,-,0,0/36
ipl2018_31,4,29,2,7.25,14.5,12,0,Feb-29
ipl2018_35,3,15,2,5,7.5,9,0,15-Feb
ipl2018_39,4,36,1,9,36,24,0,Jan-36
ipl2018_45,3,28,0,9.33,-,-,0,0/28
ipl2018_48,4,23,3,5.75,7.7,8,0,23-Mar
ipl2018_51,4,31,0,7.75,-,-,0,0/31
ipl2018_53,4,25,3,6.25,8.3,8,0,25-Mar
ipl2019_01,3,13,0,4.33,-,-,0,0/13
ipl2019_07,4,26,2,6.5,13,12,0,26-Feb
ipl2019_11,4,47,0,11.75,-,-,0,0/47
ipl2019_14,3.5,40,0,10.43,-,-,0,0/40
ipl2019_28,4,42,0,10.5,-,-,0,0/42
ipl2019_31,2,25,0,12.5,-,-,0,0/25
ipl2019_39,4,47,2,11.75,23.5,12,0,Feb-47
ipl2019_42,4,36,3,9,12,8,0,Mar-36
ipl2019_46,4,39,1,9.75,39,24,0,Jan-39
ipl2019_49,1,10,0,10,-,-,0,0/10
ipl2019_54,4,46,0,11.5,-,-,0,0/46
Total,429.2,"3,596",123,8.38,29.2,20.9,0,24-Apr
